DepMap_ID,stripped_cell_line_name,CCLE_Name,Alias,COSMICID,sex,source,Achilles_n_replicates,cell_line_NNMD,culture_type,culture_medium,cas9_activity,RRID,sample_collection_site,primary_or_metastasis,primary_disease,Subtype,age,Sanger_Model_ID,WTSI_Master_Cell_ID,depmap_public_comments,lineage,lineage_subtype,lineage_sub_subtype,lineage_molecular_subtype
ACH-001825,SW527,SW527_LARGE_INTESTINE,,,Unknown,,,,,,,,large_intestine,,Colon/Colorectal Cancer,Adenocarcinoma,,,,,colorectal,colorectal_adenocarcinoma,,
ACH-001850,G415,G415_BILIARY_TRACT,,,Male,RIKEN,1,-4.437522425,Adherent,RPMI + 10% FBS,88.1,,ascites,Metastasis,Gallbladder Cancer,Adenocarcinoma,,,,,bile_duct,gallbladder_adenocarcinoma,,
ACH-001861,TGBC1TKB,TGBC1TKB_BILIARY_TRACT,TGBC1TKB,,Female,Academic lab,,,,,,CVCL_1769,lymph_node,Metastasis,Gallbladder Cancer,Adenocarcinoma,,SIDM00252,,,bile_duct,gallbladder_adenocarcinoma,,
ACH-001961,GB2,GB2_BILIARY_TRACT,EHGB2,,Unknown,Academic lab,,,,,,,biliary_tract,Metastasis,Gallbladder Cancer,Adenocarcinoma,65,,,,bile_duct,gallbladder_adenocarcinoma,,
ACH-002022,PMFKO14,PMFKO14_LARGE_INTESTINE,,,Female,RIKEN,,,,,,,large_intestine,Primary,Colon/Colorectal Cancer,Adenocarcinoma,51,,,,colorectal,colorectal_adenocarcinoma,,
ACH-002024,ECC4,ECC4_LARGE_INTESTINE,,,Male,RIKEN,2,-1.393157991,,,,,large_intestine,Primary,Colon/Colorectal Cancer,Adenocarcinoma,45,SIDM00069,,,colorectal,colorectal_adenocarcinoma,,
ACH-002025,TT1TKB,TT1TKB_LARGE_INTESTINE,,,Male,RIKEN,2,-4.72261014,,,,,large_intestine,Primary,Colon/Colorectal Cancer,Adenocarcinoma,,,,,colorectal,colorectal_adenocarcinoma,,
ACH-002202,TMK1,TMK1_STOMACH,,1299069,Unknown,Sanger,,,,,,CVCL_4384,lymph_node,Metastasis,Gastric Cancer,Adenocarcinoma,,SIDM00040,547,,gastric,gastric_adenocarcinoma,,
ACH-002292,OACP4C,OACP4C_OESOPHAGUS,,1503362,Unknown,Sigma-Aldrich,,,,,,CVCL_1843,oesophagus,,Esophageal Cancer,Adenocarcinoma,,SIDM00445,966,,esophagus,esophagus_adenocarcinoma,,
ACH-002306,STS0421,STS0421_SOFT_TISSUE,,1299061,Unknown,Sanger,,,,,,CVCL_X508,soft_tissue,,Gastric Cancer,Adenocarcinoma,,SIDM00041,1747,,gastric,gastric_adenocarcinoma,,
ACH-002312,TGBC24TKB,TGBC24TKB_BILIARY_TRACT,,910695,Unknown,Sanger,,,,,,CVCL_1770,ascites,Metastasis,Gallbladder Cancer,Adenocarcinoma,,SIDM00267,2046,,bile_duct,gallbladder_adenocarcinoma,,
ACH-002345,CAR1,CAR1_LARGE_INTESTINE,,,Unknown,JCRB,,,,,,CVCL_1116,large_intestine,Metastasis,Colon/Colorectal Cancer,Adenocarcinoma,,SIDM00488,,,colorectal,colorectal_adenocarcinoma,,
ACH-002446,CCLFUPGI0005T,CCLFUPGI0005T_STOMACH,,,Unknown,Cancer Cell Line Factory,2,-5.096507211,Adherent,RPMI,51,,pleura,Metastasis,Gastric Cancer,Adenocarcinoma,,,,,gastric,gastric_adenocarcinoma,,
ACH-000308,EFO21,EFO21_OVARY,,911905,Female,DSMZ,3,-4.734648861,Adherent,RPMI + 20% FBS + 1mM Sodium pyruvate + 0.1mM NEAA,71.8,CVCL_0029,ascites,Metastasis,Ovarian Cancer,"Adenocarcinoma, clear cell",56,SIDM01052,303,,ovary,ovary_adenocarcinoma,clear_cell,
ACH-000324,JHOC5,JHOC5_OVARY,,,Female,RIKEN,3,-3.395910096,,DMEM:F12 (1:1) + 10% FBS + 0.1mM NEAA,82.1,CVCL_4640,ovary,Primary,Ovarian Cancer,"Adenocarcinoma, clear cell",,,,,ovary,ovary_adenocarcinoma,clear_cell,
ACH-000527,OVISE,OVISE_OVARY,,1240198,Female,HSRRB,3,-5.804772285,,RPMI + 10% FBS,68.2,CVCL_3116,bone,Metastasis,Ovarian Cancer,"Adenocarcinoma, clear cell",40,SIDM00564,358,,ovary,ovary_adenocarcinoma,clear_cell,
ACH-000646,OVMANA,OVMANA_OVARY,,,Female,HSRRB,2,-2.526918798,,RPMI + 10% FBS,49.5,CVCL_3111,ovary,Primary,Ovarian Cancer,"Adenocarcinoma, clear cell",51,,,,ovary,ovary_adenocarcinoma,clear_cell,
ACH-000663,OVTOKO,OVTOKO_OVARY,,1298365,Female,HSRRB,2,-3.336606424,Adherent,RPMI + 10% FBS,57.1,CVCL_3117,spleen,Metastasis,Ovarian Cancer,"Adenocarcinoma, clear cell",78,SIDM00425,1095,,ovary,ovary_adenocarcinoma,clear_cell,
ACH-000719,RMGI,RMGI_OVARY,,909699,Female,HSRRB,2,-3.810916342,,RPMI + 10% FBS,58.3,CVCL_1662,ascites,Metastasis,Ovarian Cancer,"Adenocarcinoma, clear cell",34,SIDM00352,1162,,ovary,ovary_adenocarcinoma,clear_cell,
ACH-000885,TOV21G,TOV21G_OVARY,,1240222,Female,ATCC,3,-3.842343459,Adherent,MCDB 105:Medium 199 (1:1) + 15% FBS,62.3,CVCL_3613,ovary,Primary,Ovarian Cancer,"Adenocarcinoma, clear cell",62,SIDM01169,700,,ovary,ovary_adenocarcinoma,clear_cell,
ACH-000906,ES2,ES2_OVARY,,1240128,Female,ATCC,3,-5.857280494,Adherent,RPMI + 10% FBS,94.1,CVCL_3509,ovary,Primary,Ovarian Cancer,"Adenocarcinoma, clear cell",47,SIDM00861,869,,ovary,ovary_adenocarcinoma,clear_cell,
ACH-001369,OCIC5X,OCIC5X_OVARY,,,Female,Academic lab,2,-2.567004075,Adherent,OCMI-L made by UMiami,79.8,CVCL_DH06,ovary,Primary,Ovarian Cancer,"Adenocarcinoma, clear cell",,,,,ovary,ovary_adenocarcinoma,clear_cell,
ACH-001719,OCIC4P,OCIC4P_OVARY,,,Female,Academic lab,2,-4.61473108,,,,,ovary,Primary,Ovarian Cancer,"Adenocarcinoma, clear cell",,,,,ovary,ovary_adenocarcinoma,clear_cell,
ACH-000048,TOV112D,TOV112D_OVARY,,1299070,Female,ATCC,2,-3.090794127,Adherent,MCDB 105:Medium 199 (1:1) + 15% FBS + 1.5g/l Sodium bicarbonate,47.6,CVCL_3612,ovary,Primary,Ovarian Cancer,"Adenocarcinoma, endometrioid",42,SIDM01170,5,,ovary,ovary_adenocarcinoma,endometrioid,
ACH-000123,COV434,COV434_OVARY,,,Female,ECACC,3,-3.993576688,Adherent,DMEM + 10% FBS + 2mM L-glutamine,43,CVCL_2010,ovary,Primary,Ovarian Cancer,"Adenocarcinoma, endometrioid",,,,,ovary,ovary_adenocarcinoma,endometrioid,
ACH-000657,A2780,A2780_OVARY,,906804,Female,ECACC,2,-3.754090822,Suspension,RPMI + 10% FBS + 2mM Glutamine + 0.05/mL cisplatin,83.3,CVCL_0134,ovary,Primary,Ovarian Cancer,"Adenocarcinoma, endometrioid",,SIDM00210,1245,,ovary,ovary_adenocarcinoma,endometrioid,
ACH-000936,EFO27,EFO27_OVARY,,906852,Female,DSMZ,2,-3.852748565,Adherent,RPMI + 20% FBS + 1mM Sodium pyruvate + 0.1mM NEAA,71.8,CVCL_1192,abdomen,Metastasis,Ovarian Cancer,"Adenocarcinoma, endometrioid",36,SIDM01051,1497,,ovary,ovary_adenocarcinoma,endometrioid,
ACH-000947,OVK18,OVK18_OVARY,,1480371,Female,RIKEN,3,-4.4573856,Adherent,MEM + 10% FBS,82.3,CVCL_3770,ascites,Metastasis,Ovarian Cancer,"Adenocarcinoma, endometrioid",,SIDM00238,200,,ovary,ovary_adenocarcinoma,endometrioid,
ACH-001991,NZOV9,NZOV9_OVARY,"NZOV 9, NZOV-9",,Female,CellBank Australia,,,,,,,ovary,Primary,Ovarian Cancer,"Adenocarcinoma, endometrioid",47,,,,ovary,ovary_adenocarcinoma,endometrioid,
ACH-000001,NIHOVCAR3,NIHOVCAR3_OVARY,OVCAR3,905933,Female,ATCC,,,,,,CVCL_0465,ascites,Metastasis,Ovarian Cancer,"Adenocarcinoma, high grade serous",60,SIDM00105,2201,,ovary,ovary_adenocarcinoma,high_grade_serous,
ACH-000013,ONCODG1,ONCODG1_OVARY,,,Female,DSMZ,2,-5.319862199,,RPMI + 10% FBS,92,CVCL_1882,ascites,Metastasis,Ovarian Cancer,"Adenocarcinoma, high grade serous",60,SIDM00093,,,ovary,ovary_adenocarcinoma,high_grade_serous,
ACH-000103,CAOV4,CAOV4_OVARY,,949090,Female,ATCC,,,,,,CVCL_0202,ovary,Metastasis,Ovarian Cancer,"Adenocarcinoma, high grade serous",45,SIDM00918,1524,,ovary,ovary_adenocarcinoma,high_grade_serous,
ACH-000116,OAW28,OAW28_OVARY,,946360,Female,ECACC,2,-4.532444873,Adherent,DMEM + 10% FBS,50.1,CVCL_1614,ascites,Metastasis,Ovarian Cancer,"Adenocarcinoma, high grade serous",,SIDM00481,173,,ovary,ovary_adenocarcinoma,high_grade_serous,
ACH-000132,JHOS2,JHOS2_OVARY,,1479995,Female,RIKEN,1,-4.4984867,,DMEM:F12 (1:1) + 10% FBS,83.8,CVCL_4647,ovary,Primary,Ovarian Cancer,"Adenocarcinoma, high grade serous",45,SIDM00305,436,,ovary,ovary_adenocarcinoma,high_grade_serous,
ACH-000256,COV318,COV318_OVARY,,,Female,ECACC,2,-3.20911879,Adherent,EMEM + 10% FBS + 2mM Glutamine,71.7,CVCL_2419,ascites,Metastasis,Ovarian Cancer,"Adenocarcinoma, high grade serous",,,,,ovary,ovary_adenocarcinoma,high_grade_serous,
ACH-000278,COV362,COV362_OVARY,,,Female,ECACC,3,-3.261751642,Adherent,DMEM + 10% FBS + 2mM L-glutamine,83.5,CVCL_2420,pleural_effusion,Metastasis,Ovarian Cancer,"Adenocarcinoma, high grade serous",,,,,ovary,ovary_adenocarcinoma,high_grade_serous,
ACH-000291,OV90,OV90_OVARY,,1240197,Female,ATCC,2,-4.763278943,Adherent,MCDB 105:Medium 199 (1:1) + 10% FBS + 1.5g/l Sodium bicarbonate,87.6,CVCL_3768,ascites,Metastasis,Ovarian Cancer,"Adenocarcinoma, high grade serous",64,SIDM01141,1327,,ovary,ovary_adenocarcinoma,high_grade_serous,
ACH-000409,OVSAHO,OVSAHO_OVARY,,,Female,HSRRB,,,,,,CVCL_3114,abdomen,Metastasis,Ovarian Cancer,"Adenocarcinoma, high grade serous",56,,,,ovary,ovary_adenocarcinoma,high_grade_serous,
ACH-000430,TYKNU,TYKNU_OVARY,,909774,Female,HSRRB,,,,,,CVCL_1776,ovary,Primary,Ovarian Cancer,"Adenocarcinoma, high grade serous",,SIDM00321,476,,ovary,ovary_adenocarcinoma,high_grade_serous,
ACH-000443,OVKATE,OVKATE_OVARY,,1240199,Female,HSRRB,,,,,,CVCL_3110,ovary,Primary,Ovarian Cancer,"Adenocarcinoma, high grade serous",40,SIDM00466,1094,,ovary,ovary_adenocarcinoma,high_grade_serous,
ACH-000460,SNU8,SNU8_OVARY,,,Female,KCLB,3,-4.705033714,Adherent,RPMI + 10% FBS,86.9,CVCL_5096,ascites,Metastasis,Ovarian Cancer,"Adenocarcinoma, high grade serous",55,,,,ovary,ovary_adenocarcinoma,high_grade_serous,
ACH-000520,59M,59M_OVARY,,,Female,ECACC,2,-3.65997253,,DMEM + 10% FBS + 2mM Glutamine + Sodium pyruvate + Insulin-Transferrin-Selenium,94.3,CVCL_2291,ascites,Metastasis,Ovarian Cancer,"Adenocarcinoma, high grade serous",,,,,ovary,ovary_adenocarcinoma,high_grade_serous,
ACH-000524,KURAMOCHI,KURAMOCHI_OVARY,,909975,Female,HSRRB,3,-5.855149713,,RPMI + 10% FBS,52.1,CVCL_1345,ascites,Metastasis,Ovarian Cancer,"Adenocarcinoma, high grade serous",,SIDM00554,854,,ovary,ovary_adenocarcinoma,high_grade_serous,
ACH-000574,FUOV1,FUOV1_OVARY,,1240129,Female,DSMZ,,,,,,CVCL_2047,ovary,Primary,Ovarian Cancer,"Adenocarcinoma, high grade serous",65,SIDM01040,2063,,ovary,ovary_adenocarcinoma,high_grade_serous,
ACH-000584,JHOS4,JHOS4_OVARY,,1480359,Female,RIKEN,3,-5.068363548,,DMEM:F12 (1:1) + 10% FBS,72.9,CVCL_4649,ovary,Primary,Ovarian Cancer,"Adenocarcinoma, high grade serous",44,SIDM00303,1651,,ovary,ovary_adenocarcinoma,high_grade_serous,
ACH-000617,OVCAR4,OVCAR4_OVARY,,905990,Female,NCI/DCTD,,,,,,CVCL_1627,ascites,Metastasis,Ovarian Cancer,"Adenocarcinoma, high grade serous",42,SIDM00092,606,,ovary,ovary_adenocarcinoma,high_grade_serous,
ACH-000696,OVCAR8,OVCAR8_OVARY,,905991,Female,NCI/DCTD,3,-5.062758153,,RPMI + 10% FBS,60.2,CVCL_1629,ovary,Primary,Ovarian Cancer,"Adenocarcinoma, high grade serous",64,SIDM00090,2131,,ovary,ovary_adenocarcinoma,high_grade_serous,
ACH-000713,CAOV3,CAOV3_OVARY,,906825,Female,ATCC,3,-2.503625768,Adherent,DMEM + 10% FBS,77.4,CVCL_0201,ovary,Primary,Ovarian Cancer,"Adenocarcinoma, high grade serous",54,SIDM00919,320,,ovary,ovary_adenocarcinoma,high_grade_serous,
ACH-001048,COV504,COV504_OVARY,,,Female,ECACC,2,-4.754985781,Adherent,DMEM + 10% FBS + 2mM L-glutamine,87,CVCL_2424,pleural_effusion,Metastasis,Ovarian Cancer,"Adenocarcinoma, high grade serous",,,,,ovary,ovary_adenocarcinoma,high_grade_serous,
ACH-001151,OVCAR5,OVCAR5_OVARY,,905969,Female,Academic lab,2,-6.349089724,Adherent,RPMI + 5% FBS,83.5,CVCL_1628,ascites,Metastasis,Ovarian Cancer,"Adenocarcinoma, high grade serous",,SIDM00091,1858,,ovary,ovary_adenocarcinoma,high_grade_serous,
ACH-002140,HEY,HEY_OVARY,,1479988,Unknown,Sanger,,,,,,CVCL_0297,ovary,,Ovarian Cancer,"Adenocarcinoma, high grade serous",,SIDM00968,1096,,ovary,ovary_adenocarcinoma,high_grade_serous,
ACH-002183,OVMIU,OVMIU_OVARY,,1240200,Unknown,Sanger,,,,,,CVCL_3112,ovary,,Ovarian Cancer,"Adenocarcinoma, high grade serous",,SIDM00465,373,,ovary,ovary_adenocarcinoma,high_grade_serous,
ACH-000542,HEYA8,HEYA8_OVARY,,,Female,Academic lab,3,-3.515303779,Adherent,RPMI + 10% FBS,92.9,CVCL_8878,ascites,Metastasis,Ovarian Cancer,"Adenocarcinoma, low grade serous",,SIDM01215,,,ovary,ovary_adenocarcinoma,low_grade_serous,
ACH-000688,OV7,OV7_OVARY,,1480360,Female,ECACC,2,-2.862581708,Adherent,DMEM:F12 (1:1) + 5% FBS + 2mM L-glutamine + 10ug/ml Insulin + 0.5ug/ml Hydrocortisone,87.3,CVCL_2675,ovary,Primary,Ovarian Cancer,"Adenocarcinoma, mixed",78,SIDM00474,1985,,ovary,ovary_adenocarcinoma,mixed_serous_clear_cell,
ACH-000966,IGROV1,IGROV1_OVARY,,905968,Female,NCI/DCTD,,,,,,CVCL_1304,ovary,Primary,Ovarian Cancer,"Adenocarcinoma, mixed",47,SIDM00151,1215,,ovary,ovary_adenocarcinoma,mixed_endometrioid_clear_cell,
ACH-000167,KE97,KE97_STOMACH,,,Male,RIKEN,2,-2.292667402,Adherent,RPMI + 10% FBS,89.5,CVCL_3386,abdomen,Metastasis,Gastric Cancer,"Adenocarcinoma, mucinous",52,,,,gastric,gastric_adenocarcinoma,mucinous,
ACH-000237,JHOM1,JHOM1_OVARY,,,Female,RIKEN,3,-4.405792717,Adherent,DMEM:F12 (1:1) + 10% FBS + 0.1mM NEAA,63.3,CVCL_4644,ovary,Primary,Ovarian Cancer,"Adenocarcinoma, mucinous",88,,,,ovary,ovary_adenocarcinoma,mucinous,
ACH-000333,JHOM2B,JHOM2B_OVARY,,,Female,RIKEN,,,,,,CVCL_4645,ovary,Primary,Ovarian Cancer,"Adenocarcinoma, mucinous",,,,,ovary,ovary_adenocarcinoma,mucinous,
ACH-000608,COV644,COV644_OVARY,,,Female,ECACC,3,-3.896520754,Adherent,DMEM + 10% FBS + 2mM L-glutamine,88.5,CVCL_2425,ovary,Primary,Ovarian Cancer,"Adenocarcinoma, mucinous",,,,,ovary,ovary_adenocarcinoma,mucinous,
ACH-000764,SH10TC,SH10TC_STOMACH,,,Unknown,RIKEN,2,-2.830755611,Adherent,RPMI + 10% FBS,70.9,CVCL_5167,stomach,Primary,Gastric Cancer,"Adenocarcinoma, mucinous",,,,,gastric,gastric_adenocarcinoma,mucinous,
ACH-000989,SNU175,SNU175_LARGE_INTESTINE,,1659928,Female,KCLB,0,-0.101953513,,,,CVCL_5031,abdomen,Metastasis,Colon/Colorectal Cancer,"Adenocarcinoma, mucinous",56,SIDM00216,154,,colorectal,colorectal_adenocarcinoma,mucinous,MSI
ACH-002023,TGBC18TKB,TGBC18TKB_LARGE_INTESTINE,,,Female,RIKEN,,,,,,,large_intestine,Primary,Colon/Colorectal Cancer,"Adenocarcinoma, papillotubular",79,,,,colorectal,colorectal_adenocarcinoma,papillotubular,
ACH-000091,OV56,OV56_OVARY,,1480362,Female,ECACC,,,,,,CVCL_2673,ascites,Metastasis,Ovarian Cancer,"Adenocarcinoma, serous",46,SIDM00475,686,,ovary,ovary_adenocarcinoma,serous,
ACH-001144,OC315,OC315_OVARY,,,Female,ICLC,,,,,,,ovary,,Ovarian Cancer,"Adenocarcinoma, serous",49,,,,ovary,ovary_adenocarcinoma,serous,
ACH-001145,OC316,OC316_OVARY,,,Female,ICLC,2,-4.264973832,Adherent,RPMI 1640 + 5% FBS,84,CVCL_1618,ascites,Metastasis,Ovarian Cancer,"Adenocarcinoma, serous",60,SIDM00219,,,ovary,ovary_adenocarcinoma,serous,
ACH-001370,OCIP5X,OCIP5X_OVARY,,,Female,Academic lab,,,,,,,ovary,Primary,Ovarian Cancer,"Adenocarcinoma, serous",,,,,ovary,ovary_adenocarcinoma,serous,
ACH-001418,UWB1289,UWB1289_OVARY,,1480374,Female,ATCC,2,-5.424954653,Adherent,RPMI 1640 Medium + MEGM + 3%FBS,90.6,CVCL_B079,ovary,Primary,Ovarian Cancer,"Adenocarcinoma, serous",56,SIDM00815,1596,,ovary,ovary_adenocarcinoma,serous,
ACH-002146,JHOS3,JHOS3_OVARY,,1480358,Unknown,Sanger,,,,,,CVCL_4648,ovary,,Ovarian Cancer,"Adenocarcinoma, serous",,SIDM00304,1595,,ovary,ovary_adenocarcinoma,serous,
ACH-002181,OVCA420,OVCA420_OVARY,,1480364,Unknown,Sanger,,,,,,CVCL_3935,ovary,,Ovarian Cancer,"Adenocarcinoma, serous",,SIDM00967,1949,,ovary,ovary_adenocarcinoma,serous,
ACH-002182,OVCA433,OVCA433_OVARY,,1480367,Unknown,Sanger,,,,,,CVCL_0475,ovary,,Ovarian Cancer,"Adenocarcinoma, serous",,SIDM00966,1332,,ovary,ovary_adenocarcinoma,serous,
ACH-000736,SNU601,SNU601_STOMACH,,,Male,KCLB,2,-3.558780534,,RPMI + 10% FBS,92.3,CVCL_0101,ascites,Metastasis,Gastric Cancer,"Adenocarcinoma, signet ring cell",34,,,,gastric,gastric_adenocarcinoma,signet_ring_cell,
ACH-000793,KATOIII,KATOIII_STOMACH,,907276,Male,ATCC,2,-4.58916863,Mixed adherent and suspension,IMDM + 20% FBS,68.9,CVCL_0371,pleural_effusion,Metastasis,Gastric Cancer,"Adenocarcinoma, signet ring cell",55,SIDM00687,406,,gastric,gastric_adenocarcinoma,signet_ring_cell,
ACH-002141,HSC39,HSC39_STOMACH,,1322224,Unknown,Sanger,,,,,,CVCL_A385,ascites,Metastasis,Gastric Cancer,"Adenocarcinoma, signet ring cell",,SIDM00045,1991,,gastric,gastric_adenocarcinoma,signet_ring_cell,
ACH-000239,HUG1N,HUG1N_STOMACH,,,Male,RIKEN,0,-1.073709002,,RPMI + 10% FBS,80.8,CVCL_4846,stomach,Metastasis,Gastric Cancer,"Adenocarcinoma, tubular",55,,,,gastric,gastric_adenocarcinoma,tubular,
ACH-000427,NCIN87,NCIN87_STOMACH,,908461,Male,ATCC,2,-1.900747183,Adherent,RPMI + 10% FBS,50.8,CVCL_1603,liver,Metastasis,Gastric Cancer,"Adenocarcinoma, tubular",,SIDM01147,88,,gastric,gastric_adenocarcinoma,tubular,
ACH-000466,SNU216,SNU216_STOMACH,,,Female,KCLB,2,-2.669209864,,RPMI + 10% FBS,73.3,CVCL_3946,lymph_node,Metastasis,Gastric Cancer,"Adenocarcinoma, tubular",46,,,,gastric,gastric_adenocarcinoma,tubular,
ACH-000678,MKN7,MKN7_STOMACH,,924250,Male,RIKEN,,,,,,CVCL_1417,lymph_node,Metastasis,Gastric Cancer,"Adenocarcinoma, tubular",39,SIDM00560,2113,,gastric,gastric_adenocarcinoma,tubular,
ACH-000898,SNU719,SNU719_STOMACH,,,Male,KCLB,2,-3.473918896,,RPMI + 10% FBS + 2mM L-glutamine,80,CVCL_5086,stomach,Primary,Gastric Cancer,"Adenocarcinoma, tubular",53,,,,gastric,gastric_adenocarcinoma,tubular,
ACH-002161,MKN28,MKN28_STOMACH,,908139,Unknown,Sanger,,,,,,CVCL_1416,liver,Metastasis,Gastric Cancer,"Adenocarcinoma, tubular",,SIDM00260,2112,,gastric,gastric_adenocarcinoma,tubular,
ACH-000040,U118MG,U118MG_CENTRAL_NERVOUS_SYSTEM,,687588,Male,ATCC,2,-3.785502016,Adherent,DMEM + 10% FBS,69.1,CVCL_0633,central_nervous_system,Primary,Brain Cancer,Astrocytoma,,SIDM01193,7,,central_nervous_system,glioma,astrocytoma,
ACH-000075,U87MG,U87MG_CENTRAL_NERVOUS_SYSTEM,,687590,Unknown,ATCC,2,-2.31895816,Adherent,EMEM + 10% FBS,62.1,CVCL_0022,central_nervous_system,Primary,Brain Cancer,Astrocytoma,44,SIDM01189,549,,central_nervous_system,glioma,astrocytoma,
ACH-000128,LN319,LN319_CENTRAL_NERVOUS_SYSTEM,,,Male,Academic lab,2,-3.112513657,not found,not found,68.8,CVCL_3958,central_nervous_system,,Brain Cancer,Astrocytoma,67,,,,central_nervous_system,glioma,astrocytoma,
ACH-000137,8MGBA,8MGBA_CENTRAL_NERVOUS_SYSTEM,,687562,Female,DSMZ,2,-3.712431067,Adherent,EMEM + 20% FBS,54.3,CVCL_1052,central_nervous_system,Primary,Brain Cancer,Astrocytoma,54,SIDM00998,1207,,central_nervous_system,glioma,astrocytoma,
ACH-000232,U251MG,U251MG_CENTRAL_NERVOUS_SYSTEM,U251-MG,905983,Male,HSRRB,2,-4.277904553,,DMEM + 10% FBS,88.7,CVCL_0021,central_nervous_system,Primary,Brain Cancer,Astrocytoma,,SIDM00111,1913,,central_nervous_system,glioma,astrocytoma,
ACH-000323,42MGBA,42MGBA_CENTRAL_NERVOUS_SYSTEM,,687561,Male,DSMZ,2,-3.904623994,Adherent,RPMI:EMEM (1:1) + 20% FBS,72.6,CVCL_1798,central_nervous_system,Primary,Brain Cancer,Astrocytoma,63,SIDM00982,1465,,central_nervous_system,glioma,astrocytoma,
ACH-000329,CCFSTTG1,CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,,906823,Female,ATCC,2,-4.123584686,Adherent,RPMI + 10% FBS,81.5,CVCL_1118,central_nervous_system,Primary,Brain Cancer,Astrocytoma,68,SIDM00131,876,,central_nervous_system,glioma,astrocytoma,
ACH-000437,SW1088,SW1088_CENTRAL_NERVOUS_SYSTEM,,909745,Male,ATCC,2,-4.83565394,Adherent,RPMI + 10% FBS,75.1,CVCL_1715,central_nervous_system,Primary,Brain Cancer,Astrocytoma,72,SIDM01155,1310,,central_nervous_system,glioma,astrocytoma,
ACH-000490,SF767,SF767_CENTRAL_NERVOUS_SYSTEM,,,Female,Academic lab,2,-5.096891033,not found,not found,91.8,CVCL_6950,stomach,Metastasis,Brain Cancer,Astrocytoma,,SIDM00626,,,central_nervous_system,glioma,astrocytoma,
ACH-000591,LN235,LN235_CENTRAL_NERVOUS_SYSTEM,LN-235,,Male,Academic lab,2,-3.96076416,not found,not found,87.3,CVCL_3957,central_nervous_system,,Brain Cancer,Astrocytoma,38,,,,central_nervous_system,glioma,astrocytoma,
ACH-000609,SF126,SF126_CENTRAL_NERVOUS_SYSTEM,,909712,Female,HSRRB,0,-2.688215571,,,,CVCL_1688,central_nervous_system,Primary,Brain Cancer,Astrocytoma,,SIDM00382,1677,,central_nervous_system,glioma,astrocytoma,
ACH-000631,KS1,KS1_CENTRAL_NERVOUS_SYSTEM,,907313,Female,HSRRB,0,-1.313921513,,MEM + 10% FBS + 2mM Glutamax,50.4,CVCL_1343,central_nervous_system,Primary,Brain Cancer,Astrocytoma,,SIDM00555,1387,,central_nervous_system,glioma,astrocytoma,
ACH-000883,SW1783,SW1783_CENTRAL_NERVOUS_SYSTEM,,909750,Male,ATCC,,,,,,CVCL_1722,central_nervous_system,Primary,Brain Cancer,Astrocytoma,68,SIDM01164,1453,,central_nervous_system,glioma,astrocytoma,
ACH-001000,1321N1,1321N1_CENTRAL_NERVOUS_SYSTEM,,,Male,ECACC,,,,,,CVCL_0110,central_nervous_system,,Brain Cancer,Astrocytoma,,,,,central_nervous_system,glioma,astrocytoma,
ACH-002269,LNZTA3WT4,LNZTA3WT4_CENTRAL_NERVOUS_SYSTEM,,1240170,Unknown,Sanger,,,,,,CVCL_3540,central_nervous_system,,Brain Cancer,Astrocytoma,,SIDM01220,1793,,central_nervous_system,glioma,astrocytoma,
ACH-002304,SKMG1,SKMG1_CENTRAL_NERVOUS_SYSTEM,,909729,Unknown,Sanger,,,,,,CVCL_1698,central_nervous_system,,Brain Cancer,Astrocytoma,,SIDM00379,578,,central_nervous_system,glioma,astrocytoma,
ACH-002257,KINGS1,KINGS1_CENTRAL_NERVOUS_SYSTEM,,907279,Unknown,Sanger,,,,,,CVCL_1328,central_nervous_system,,Brain Cancer,"Astrocytoma, anaplastic",,SIDM00612,217,,central_nervous_system,glioma,astrocytoma,
ACH-000206,C8166,C8166_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Unknown,Sigma-Aldrich,2,-2.812324746,not found,not found,79.5,CVCL_1099,haematopoietic_and_lymphoid_tissue,,Lymphoma,ATL,,SIDM00072,,,lymphocyte,ATL,,
ACH-000160,BT12,BT12_SOFT_TISSUE,,,Female,Academic lab,2,-3.575145021,not found,not found,78.7,CVCL_M155,soft_tissue,,Rhabdoid,Atypical Teratoid Rhabdoid Tumor (ATRT),0.1,,,,soft_tissue,ATRT,,
ACH-001020,BT16,BT16_SOFT_TISSUE,,,Male,Academic lab,2,-2.031638342,not found,not found,47.7,CVCL_M156,soft_tissue,,Rhabdoid,Atypical Teratoid Rhabdoid Tumor (ATRT),2,,,,soft_tissue,ATRT,,
ACH-001028,CHLA06ATRT,CHLA06ATRT_SOFT_TISSUE,,,Female,Academic lab,2,-5.765942073,not found,not found,54.8,CVCL_AQ42,central_nervous_system,,Rhabdoid,Atypical Teratoid Rhabdoid Tumor (ATRT),0.33,,,,soft_tissue,ATRT,,
ACH-001031,CHLA266,CHLA266_SOFT_TISSUE,,,Female,Children's Oncology Group,2,-4.181539677,Adherent,"IMDM + 20% FBS + 4mM L-glut, 1x ITS",64.2,CVCL_M149,soft_tissue,,Rhabdoid,Atypical Teratoid Rhabdoid Tumor (ATRT),2.5,,,,soft_tissue,ATRT,,
