Rank	NCT Number	Title	Acronym	Status	Study Results	Conditions	Interventions	Outcome Measures	Sponsor/Collaborators	Gender	Age	Phases	Enrollment	Funded Bys	Study Type	Study Designs	Other IDs	Start Date	Primary Completion Date	Completion Date	First Posted	Results First Posted	Last Update Posted	Locations	Study Documents	URL
1528	NCT00002647	Photodynamic Therapy With Porfimer Sodium in Treating Patients With Refractory Brain Tumors		Unknown status	No Results Available	Brain and Central Nervous System Tumors|Metastatic Cancer	Drug: verteporfin|Procedure: conventional surgery		Medical College of Wisconsin|National Cancer Institute (NCI)	All	"3 Years to 70 Years   (Child, Adult, Older Adult)"	Phase 1	24	Other	Interventional	Primary Purpose: Treatment	CDR0000064165|MCW-7594|MCW-CHW-511|MCW-CHW-9411|NCI-V95-0652	May-94			27-Jan-03		20-Sep-13	"Medical College of Wisconsin Cancer Center, Milwaukee, Wisconsin, United States|Midwest Children's Cancer Center at Children's Hospital of Wisconsin, Milwaukee, Wisconsin, United States"		https://ClinicalTrials.gov/show/NCT00002647
1529	NCT00118222	High Light and Low Light Dose PDT in Glioma		Completed	No Results Available	Brain and Central Nervous System Tumors	Drug: porfimer sodium|Procedure: adjuvant therapy|Procedure: conventional surgery	Time to progression and survival measured	Case Comprehensive Cancer Center|National Cancer Institute (NCI)	All	"18 Years and older   (Adult, Older Adult)"	Phase 3	1	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	CWRU4303|P30CA043703|CASE-4303|CWRU-00003937|CWRU-4303	Mar-05	Mar-06	Mar-06	11-Jul-05		11-Jun-10	"Ireland Cancer Center at University Hospitals Case Medical Center, Case Comprehensive Cancer Center, Cleveland, Ohio, United States"		https://ClinicalTrials.gov/show/NCT00118222
1530	NCT01132547	Cyproheptadine in Preventing Weight Loss in Children Receiving Chemotherapy for Cancer		Terminated	Has Results	Cancer	Drug: cyproheptadine hydrochloride|Other: placebo	Participant With Weight Loss ≥ 5% at the 8- Week Assessment When Compared to Baseline|Severity of Weight Loss|Pattern of Weight in the Study Population	University of South Florida|National Cancer Institute (NCI)	All	"2 Years to 21 Years   (Child, Adult)"	Phase 3	22	Other|NIH	Interventional	"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Supportive Care"	SCUSF 0703|SCUSF-0703|5U10CA081920-11	Jun-10	Jan-14	Jan-14	28-May-10	2-Jul-15	2-Jul-15	"Miller Children's Hospital, Long Beach, California, United States|Connecticut Children's Medical Center, Hartford, Connecticut, United States|A.I. duPont Hospital for Children, Wilmington, Delaware, United States|Children's National Medical Center, Washington, District of Columbia, United States|Children's Hospital of Southwest Florida at Lee Memorial, Fort Myers, Florida, United States|Nemours Children's Clinic - Jacksonville, Jacksonville, Florida, United States|Arnold Palmer Hospital for Children, Orlando, Florida, United States|Nemours Children's Clinic - Orlando, Orlando, Florida, United States|Nemours Children's Hospital Pensacola, Pensacola, Florida, United States|Kapiolani Medical Center for Women and Children, Honolulu, Hawaii, United States|Ochsner Clinic Foundation, New Orleans, Louisiana, United States|Columbia University Medical Center, New York, New York, United States|CHRISTUS Santa Rosa Children's Hospital, San Antonio, Texas, United States|Children's Hospital of The King's Daughters, Norfolk, Virginia, United States"		https://ClinicalTrials.gov/show/NCT01132547
1531	NCT00069940	Vaccine Therapy and Sargramostim in Treating Patients With Sarcoma or Brain Tumor		Completed	No Results Available	Brain and Central Nervous System Tumors|Gastrointestinal Stromal Tumor|Sarcoma	Biological: sargramostim|Biological: telomerase: 540-548 peptide vaccine		Dana-Farber Cancer Institute|National Cancer Institute (NCI)	All	"2 Years and older   (Child, Adult, Older Adult)"	Phase 1		Other|NIH	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	03-365|P30CA006516	Dec-00	Aug-06	Aug-08	7-Oct-03		28-Dec-10	"Dana-Farber/Harvard Cancer Center at Dana Farber Cancer Institute, Boston, Massachusetts, United States"		https://ClinicalTrials.gov/show/NCT00069940
1532	NCT00002754	Monoclonal Antibody Therapy in Treating Patients With Primary or Metastatic Melanoma or Brain Tumors		Completed	No Results Available	Brain and Central Nervous System Tumors|Melanoma (Skin)|Metastatic Cancer	Biological: monoclonal antibody Me1-14 F(ab')2		Duke University|National Cancer Institute (NCI)	All	"3 Years and older   (Child, Adult, Older Adult)"	Phase 1	6	Other|NIH	Interventional	Primary Purpose: Treatment	CDR0000064690|DUMC-0334-99-2R6|DUMC-219-96-2R3|DUMC-302-97-2R4|DUMC-308-98-2R5|NCI-V96-1071	Feb-93	Apr-01	Apr-01	29-Jul-04		20-Feb-13	"Duke Comprehensive Cancer Center, Durham, North Carolina, United States"		https://ClinicalTrials.gov/show/NCT00002754
1533	NCT00006263	"Carboplatin, Temozolomide, and Filgrastim in Treating Patients With Newly Diagnosed or Recurrent High-Grade Glioma"		Withdrawn	No Results Available	Brain and Central Nervous System Tumors	Biological: filgrastim|Drug: carboplatin|Drug: temozolomide		NYU Langone Health|National Cancer Institute (NCI)	All	"up to 64 Years   (Child, Adult)"	Phase 2	0	Other|NIH	Interventional	Primary Purpose: Treatment	CDR0000068203|NYU-0004H|NYU-0029H|NCI-G00-1856	Nov-97			27-Jan-03		5-Aug-15	"NYU School of Medicine's Kaplan Comprehensive Cancer Center, New York, New York, United States"		https://ClinicalTrials.gov/show/NCT00006263
1534	NCT00124657	Erlotinib and Radiation Therapy in Treating Young Patients With Newly Diagnosed Glioma		Completed	Has Results	Brain and Central Nervous System Tumors	Drug: Erlotinib hydrochloride	"Number of Participants With Dose-limiting Toxicity (DLT)|Maximum Tolerated Dose (MTD) of Erlotinib|Progression Free Survival (PFS)|Cmax of Erlotinib and Its Metabolite OSI-420|Erlotinib Tmax|AUC Time 0-infinite (AUCinf) of Erlotinib and Its Metabolite OSI-420|Number of Positive Mutations of EGFR and Downstream Pathways|Ability of Erlotinib to Inhibit EGFR Signaling|Correlation Between Standard Magnetic Resonance Imaging and Investigational Radiologic Techniques in Assessing Tumor Response to This Treatment|To Prospectively Investigate the Technical Factors Involved in Planning and Administering Conformal Fractionated RT as Outlined in This Study, and to Correlate RT Dosimetry With Patterns of Failure, Standard and Investigational Imaging and Toxicity|Plasma and CSF Levels of VEGF, bFGF, and SDF1|Number of Participants Experiencing Grade 3 or 4 Toxicity Events"	"St. Jude Children's Research Hospital|Rady Children's Hospital, San Diego|Duke University"	All	"3 Years to 21 Years   (Child, Adult)"	Phase 1|Phase 2	62	Other	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	SJHG04	Mar-05	Jul-12	Sep-14	28-Jul-05	29-Apr-14	4-Dec-15	"University of California San Diego, San Diego, California, United States|Duke Children's Hospital and Health Center, Durham, North Carolina, United States|St. Jude Children's Research Hospital, Memphis, Tennessee, United States"		https://ClinicalTrials.gov/show/NCT00124657
1535	NCT00003476	Antineoplaston Therapy in Treating Children With Primary Malignant Brain Tumors		Terminated	Has Results	Childhood Brain Tumor	Drug: Antineoplaston therapy (Atengenal + Astugenal)	Number of Participants With Objective Response|Percentage of Participants Who Survived	Burzynski Research Institute	All	"6 Months to 18 Years   (Child, Adult)"	Phase 2	8	Other	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	CDR0000066513|BC-BT-22	Mar-96	Jan-12	Jan-12	27-Jan-03	10-Apr-17	24-Aug-17	"Burzynski Clinic, Houston, Texas, United States"		https://ClinicalTrials.gov/show/NCT00003476
1536	NCT04430842	"Dose Escalation Study to Assess the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of QBS10072S"		Recruiting	No Results Available	Astrocytoma|Brain Cancer|Brain Metastases|Bladder Cancer|Breast Cancer|Cervical Cancer|Cholangiocarcinoma|Colorectal Cancer|Esophagus Cancer|Gastric Cancer|Head and Neck Cancer|Kidney Cancer|Liver Cancer|Lung Cancer|Melanoma|Ovarian Cancer|Pancreatic Cancer|Pleural Mesothelioma|Prostate Cancer|Sarcoma|Tongue Cancer|Thymic Carcinoma|Urinary Tract Cancer	Drug: QBS10072S	Determination of maximum tolerated dose (MTD)|Safety and tolerability assessed by adverse events and serious adverse events|Peak Plasma Concentration (Cmax)|Area under the plasma concentration versus time curve (AUC) of QBS10072S|Half-life of QBS10072S in plasma (t1/2)|Time to maximum concentration of QBS10072S in plasma (Tmax)	"Quadriga Biosciences, Inc.|Novotech (Australia) Pty Limited"	All	"18 Years and older   (Adult, Older Adult)"	Phase 1	50	Industry	Interventional	Allocation: N/A|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	QBS-72S-1001	20-Jul-20	Sep-21	Dec-21	12-Jun-20		9-Mar-21	"St George Private Hospital, Kogarah, New South Wales, Australia|Sydney Southwest Private Hospital, Liverpool, New South Wales, Australia"		https://ClinicalTrials.gov/show/NCT04430842
1537	NCT00005796	Combination Chemotherapy Plus Gene Therapy in Treating Patients With CNS Tumors		Completed	No Results Available	Bone Marrow Suppression|Brain and Central Nervous System Tumors|Drug/Agent Toxicity by Tissue/Organ	Procedure: filgrastim|Biological: gene therapy|Drug: lomustine|Drug: procarbazine hydrochloride|Drug: vincristine sulfate|Procedure: in vitro-treated peripheral blood stem cell transplantation	Determine the toxicity (detection of replication competent retrovirus) associated with CD34+ cells transduced with a retroviral vector expressing human O6-methylguanine DNA methyltransferase in adult and pediatric patients with poor prognosis CNS tumors.	Indiana University|Indiana University Melvin and Bren Simon Cancer Center	All	"5 Years and older   (Child, Adult, Older Adult)"	Phase 1	10	Other	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	9607-22|IUMC-9607-22|NCI-H00-0049	Feb-00	Jun-03	Dec-11	28-Apr-04		25-Mar-15	"Indiana University Cancer Center, Indianapolis, Indiana, United States|Dana-Farber Cancer Institute, Boston, Massachusetts, United States"		https://ClinicalTrials.gov/show/NCT00005796
1538	NCT00002752	Radiolabeled Monoclonal Antibody Therapy in Treating Patients With Primary or Metastatic Brain Cancers		Completed	No Results Available	Brain and Central Nervous System Tumors|Metastatic Cancer	Radiation: iodine I 131 monoclonal antibody 81C6		Duke University	All	"3 Years and older   (Child, Adult, Older Adult)"	Phase 1|Phase 2		Other	Interventional	Primary Purpose: Treatment	Pro00004635|DUMC-2426-01-2R8|DUMC-000223-00-2R7|DUMC-0328-99-2R6|DUMC-221-96-2R3|DUMC-307-97-2R4|DUMC-307-98-2R5|NCI-H96-0009|CDR0000064688	Feb-93	Jan-03	Mar-10	8-Jul-03		16-Jul-14	"Duke Comprehensive Cancer Center, Durham, North Carolina, United States"		https://ClinicalTrials.gov/show/NCT00002752
1539	NCT00014573	Chemotherapy and Vaccine Therapy Followed by Bone Marrow or Peripheral Stem Cell Transplantation and Interleukin-2 in Treating Patients With Recurrent or Refractory Brain Cancer		Completed	No Results Available	Brain and Central Nervous System Tumors	Biological: aldesleukin|Biological: autologous tumor cell vaccine|Biological: filgrastim|Biological: sargramostim|Biological: therapeutic autologous lymphocytes|Drug: carmustine|Drug: cisplatin|Drug: cyclophosphamide|Drug: paclitaxel|Procedure: autologous bone marrow transplantation|Procedure: conventional surgery|Procedure: peripheral blood stem cell transplantation		Barbara Ann Karmanos Cancer Institute|National Cancer Institute (NCI)	All	"up to 65 Years   (Child, Adult, Older Adult)"	Phase 2		Other|NIH	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	CDR0000068559|P30CA022453|WSU-D-1654|WSU-07-92-98-P04-FB|NCI-G01-1937	Aug-98	Oct-04	Oct-04	5-Apr-04		8-Apr-13	"Barbara Ann Karmanos Cancer Institute, Detroit, Michigan, United States"		https://ClinicalTrials.gov/show/NCT00014573
1540	NCT01403311	A Study of Aminolevulinic Acid (ALA) to Enhance Visualization and Resection of Malignant Glial Tumors of the Brain	ALA	Unknown status	No Results Available	Glioma	Drug: 5-Aminolevuline Acid	Establish a safe dose to provide optimal discrimination between normal and malignant tissue for oral ALA administration intraoperatively|Compare time-to-progression and survival to that in comparable cases performed without the aid of ALA	"Legacy Health System|DUSA Pharmaceuticals, Inc."	All	"18 Years and older   (Adult, Older Adult)"	Phase 2	18	Other|Industry	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	5-ALA-01	Oct-10	Dec-11	Mar-15	27-Jul-11		26-Mar-14	"Legacy Health System, Portland, Oregon, United States"		https://ClinicalTrials.gov/show/NCT01403311
1541	NCT00002608	Combination Chemotherapy and Tamoxifen in Treating Patients With Solid Tumors		Completed	No Results Available	Adrenocortical Carcinoma|Brain and Central Nervous System Tumors|Head and Neck Cancer|Liver Cancer|Malignant Mesothelioma|Pheochromocytoma|Sarcoma	Drug: cisplatin|Drug: doxorubicin hydrochloride|Drug: tamoxifen citrate|Procedure: conventional surgery|Radiation: radiation therapy		Ottawa Regional Cancer Centre|National Cancer Institute (NCI)	All	"up to 65 Years   (Child, Adult, Older Adult)"	Phase 2	30	Other	Interventional	Masking: None (Open Label)|Primary Purpose: Treatment	CAN-OTT-9401|CDR0000063892|NCI-V94-0566	May-94		Apr-05	27-Jan-03		10-Jul-13	"Ottawa Regional Cancer Centre at Ottawa Hospital - General Campus, Ottawa, Ontario, Canada"		https://ClinicalTrials.gov/show/NCT00002608
1542	NCT01480050	Mibefradil Dihydrochloride and Temozolomide in Treating Patients With Recurrent Glioma		Completed	No Results Available	Brain and Central Nervous System Tumors	Drug: temozolomide|Other: 3'-deoxy-3'-[18F]fluorothymidine|Other: pharmacological study|Drug: Mibefradil	Maximum-tolerated dose of mibefradil dihydrochloride|Dose-limiting toxicity|Toxicity and adverse events according to CTCAE v. 4.0|Biological activity of treatment determined by radiographic response|Pharmacokinetics of mibefradil dihydrochloride as measured by the steady-state maximum plasma concentration (Cmax)|Potential effect of mibefradil dihydrochloride on tumor metabolism as determined by [F-18]FLT PET scans in the dose-expansion cohort	Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins|National Cancer Institute (NCI)|Jazz Pharmaceuticals	All	"18 Years to 120 Years   (Adult, Older Adult)"	Phase 1	28	Other|NIH|Industry	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	ABTC-1101 CDR0000716313|NA_00068561|M1 CA137443	31-May-12	Aug-15	1-Jun-17	28-Nov-11		22-May-19	"UAB Comprehensive Cancer Center, Birmingham, Alabama, United States|Winship Cancer Institute of Emory University, Atlanta, Georgia, United States|Johns Hopkins University, Baltimore, Maryland, United States|Henry Ford Hospital, Detroit, Michigan, United States|Wake Forest University Comprehensive Cancer Center, Winston-Salem, North Carolina, United States|Abramson Cancer Center of the University of Pennsylvania, Philadelphia, Pennsylvania, United States|Hillman Cancer Center at University of Pittsburgh Cancer Institute, Pittsburgh, Pennsylvania, United States"		https://ClinicalTrials.gov/show/NCT01480050
1543	NCT00302159	Valproic Acid With Temozolomide and Radiation Therapy to Treat Brain Tumors		Completed	Has Results	High Grade Gliomas|Brain Tumors	Procedure: adjuvant therapy|Drug: Temozolomide|Drug: Valproic Acid|Radiation: Radiation therapy	"Median Progression Free Survival.|Percentage of Participants With Progression Free Survival at 6, 12, and 24 Months|Number of Participants With Best Response|Median Overall Survival|Percentage of Participants With Overall Survival at 6, 12, and 24 Months|Number of Participants With Adverse Events"	National Cancer Institute (NCI)|National Institutes of Health Clinical Center (CC)	All	"18 Years to 90 Years   (Adult, Older Adult)"	Phase 2	43	NIH	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	060112|06-C-0112	Mar-06	Jun-13	Nov-14	13-Mar-06	24-Jun-14	18-Aug-16	"National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States|University of Pennsylvania, Philadelphia, Pennsylvania, United States|Virginia Commonwealth University, Richmond, Virginia, United States"		https://ClinicalTrials.gov/show/NCT00302159
1544	NCT00544284	Bortezomib and Temozolomide in Treating Patients With Brain Tumors or Other Solid Tumors That Have Not Responded to Treatment		Completed	No Results Available	"Brain and Central Nervous System Tumors|Lymphoma|Metastatic Cancer|Unspecified Adult Solid Tumor, Protocol Specific"	Drug: bortezomib|Drug: temozolomide|Other: pharmacological study	Dose-limiting toxicity and maximum tolerated dose|Pharmacokinetics|Confirmed complete or partial response|Percentage of patients with 6-month progression-free survival	City of Hope Medical Center|National Cancer Institute (NCI)	All	"18 Years and older   (Adult, Older Adult)"	Phase 1	25	Other|NIH	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	04032|P30CA033572|CHNMC-04032|CDR0000570245	Jan-05	Jan-12	Jan-12	16-Oct-07		15-Feb-13	"City of Hope Comprehensive Cancer Center, Duarte, California, United States|City of Hope Medical Group, Pasadena, California, United States"		https://ClinicalTrials.gov/show/NCT00544284
1545	NCT01273090	Imetelstat Sodium in Treating Young Patients With Refractory or Recurrent Solid Tumors or Lymphoma		Completed	No Results Available	"Brain and Central Nervous System Tumors|Lymphoma|Lymphoproliferative Disorder|Small Intestine Cancer|Unspecified Childhood Solid Tumor, Protocol Specific"	Drug: imetelstat sodium|Other: laboratory biomarker analysis|Other: pharmacological study	Maximum-tolerated dose and/or recommended phase II dose of imetelstat sodium in children with refractory or recurrent solid tumors or lymphoma|Toxicities of imetelstat sodium	Children's Oncology Group|National Cancer Institute (NCI)	All	"1 Year to 21 Years   (Child, Adult)"	Phase 1	34	Other|NIH	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	ADVL1112|COG-ADVL1112	May-11	Sep-13	Oct-13	10-Jan-11		30-Jan-14	"UAB Comprehensive Cancer Center, Birmingham, Alabama, United States|Children's Hospital of Orange County, Orange, California, United States|UCSF Helen Diller Family Comprehensive Cancer Center, San Francisco, California, United States|Children's National Medical Center, Washington, District of Columbia, United States|AFLAC Cancer Center and Blood Disorders Service of Children's Healthcare of Atlanta - Egleston Campus, Atlanta, Georgia, United States|Children's Memorial Hospital - Chicago, Chicago, Illinois, United States|Riley's Children Cancer Center at Riley Hospital for Children, Indianapolis, Indiana, United States|Warren Grant Magnuson Clinical Center - NCI Clinical Trials Referral Office, Bethesda, Maryland, United States|Dana-Farber/Harvard Cancer Center at Dana-Farber Cancer Institute, Boston, Massachusetts, United States|C.S. Mott Children's Hospital at University of Michigan Medical Center, Ann Arbor, Michigan, United States|Siteman Cancer Center at Barnes-Jewish Hospital - Saint Louis, St. Louis, Missouri, United States|Herbert Irving Comprehensive Cancer Center at Columbia University Medical Center, New York, New York, United States|Cincinnati Children's Hospital Medical Center, Cincinnati, Ohio, United States|Knight Cancer Institute at Oregon Health and Science University, Portland, Oregon, United States|Children's Hospital of Philadelphia, Philadelphia, Pennsylvania, United States|Children's Hospital of Pittsburgh of UPMC, Pittsburgh, Pennsylvania, United States|St. Jude Children's Research Hospital, Memphis, Tennessee, United States|Simmons Comprehensive Cancer Center at University of Texas Southwestern Medical Center - Dallas, Dallas, Texas, United States|Baylor University Medical Center - Houston, Houston, Texas, United States|Children's Hospital and Regional Medical Center - Seattle, Seattle, Washington, United States|Midwest Children's Cancer Center at Children's Hospital of Wisconsin, Milwaukee, Wisconsin, United States|Hospital for Sick Children, Toronto, Ontario, Canada|Hopital Sainte Justine, Montreal, Quebec, Canada"		https://ClinicalTrials.gov/show/NCT01273090
1546	NCT00612001	Vaccine Therapy in Treating Patients With Malignant Glioma		Completed	No Results Available	Brain and Central Nervous System Tumors	Biological: glioma-associated antigen peptide-pulsed autologous dendritic cell vaccine	Dose-limiting toxicity and maximum tolerated dose of autologous dendritic cells pulsed with synthetic glioma-associated antigen (GAA) peptides|Survival|Tumor progression	Jonsson Comprehensive Cancer Center|National Cancer Institute (NCI)	All	"18 Years and older   (Adult, Older Adult)"	Phase 1	8	Other|NIH	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	CDR0000585166|R01CA112358|UCLA-06-01-052	May-06	Jan-11	Oct-12	11-Feb-08		5-Oct-15	"Jonsson Comprehensive Cancer Center at UCLA, Los Angeles, California, United States"		https://ClinicalTrials.gov/show/NCT00612001
1547	NCT00795665	Bevacizumab and Carmustine in Treating Patients With Relapsed or Progressive High-Grade Glioma		Completed	Has Results	Glioma	Drug: bevacizumab|Drug: carmustine	Progression-free Survival|Radiographic Response to Therapy|Differentiate a Radiographic Response Due to Tumor Shrinkage From a Radiographic Response Due to Decreased Vasogenic Edema|Safety and Toxicity|Overall Survival	"University of California, Davis|National Cancer Institute (NCI)|Genentech, Inc."	All	"18 Years and older   (Adult, Older Adult)"	Phase 2	7	Other|NIH|Industry	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	224865|UCDCC#208|P30CA093373	Jun-08	Dec-15	Dec-15	21-Nov-08	12-May-20	12-May-20	"University of California Davis Cancer Center, Sacramento, California, United States"		https://ClinicalTrials.gov/show/NCT00795665
1548	NCT00005083	Functional Magnetic Resonance Imaging and 1H-Nuclear Magnetic Resonance Spectroscopic Imaging in Treating Patients With Newly Diagnosed Brain Tumors		Withdrawn	No Results Available	Brain and Central Nervous System Tumors	Procedure: conventional surgery|Procedure: magnetic resonance imaging|Procedure: magnetic resonance spectroscopic imaging		Jonsson Comprehensive Cancer Center|National Cancer Institute (NCI)	All	18 Years to 55 Years   (Adult)	Phase 2	0	Other|NIH	Interventional	Primary Purpose: Diagnostic	CDR0000067692|UCLA-9712069|NCI-G00-1726	Mar-98			16-Dec-03		4-Oct-12			https://ClinicalTrials.gov/show/NCT00005083
1549	NCT00005637	Combination Chemotherapy Following Radiation Therapy in Treating Patients With Malignant Glioma		Completed	No Results Available	Brain and Central Nervous System Tumors	Drug: carmustine|Drug: temozolomide		Memorial Sloan Kettering Cancer Center|National Cancer Institute (NCI)	All	"18 Years and older   (Adult, Older Adult)"	Phase 1		Other|NIH	Interventional	Primary Purpose: Treatment	CDR0000067793|MSKCC-99114|NCI-G00-1765	Dec-99	Jun-03	Dec-09	27-Jan-03		4-Apr-13	"Memorial Sloan-Kettering Cancer Center, New York, New York, United States"		https://ClinicalTrials.gov/show/NCT00005637
1550	NCT00967200	Study of Tissue Samples From Patients With Glioma or Other Brain Tumors		Completed	No Results Available	Central Nervous System Lymphoma	Other: laboratory biomarker analysis|Other: pharmacogenomic studies	Pathophysiology of gliomas|Identification of molecular	"University Hospital, Montpellier"	All	"18 Years to 120 Years   (Adult, Older Adult)"		180	Other	Observational	Observational Model: Cohort|Time Perspective: Retrospective	7745	Nov-03	Jul-09	Nov-15	27-Aug-09		24-Nov-15	"CHU Montpellier, Montpellier, France|Clinique Gui de Chauliac, Montpellier, France"		https://ClinicalTrials.gov/show/NCT00967200
1551	NCT00009854	Carmustine Followed By Surgery in Treating Patients With Recurrent Supratentorial Malignant Glioma or Metastatic Brain Neoplasm		Unknown status	No Results Available	Brain and Central Nervous System Tumors|Metastatic Cancer	Drug: carmustine in ethanol|Procedure: conventional surgery		Direct Therapeutics|National Cancer Institute (NCI)	All	"18 Years to 75 Years   (Adult, Older Adult)"	Phase 1|Phase 2		Industry	Interventional	Primary Purpose: Treatment	CDR0000068416|DTI-0002|UCSF-H7858-17520-01|NCI-V00-1642	Jun-00			27-Jan-03		6-Nov-13	"UCSF Cancer Center and Cancer Research Institute, San Francisco, California, United States|Massey Cancer Center, Richmond, Virginia, United States"		https://ClinicalTrials.gov/show/NCT00009854
1552	NCT00387933	"Imatinib Mesylate, Vatalanib, and Hydroxyurea in Treating Patients With Recurrent or Relapsed Malignant Glioma"		Completed	No Results Available	Brain and Central Nervous System Tumors	Drug: hydroxyurea|Drug: imatinib mesylate|Drug: vatalanib	Maximum tolerated dose and dose-limiting toxicity of imatinib mesylate and vatalanib when administered with hydroxyurea|Safety|Tolerability|Pharmacokinetic|Antiangiogenic effects	Duke University|National Cancer Institute (NCI)	All	"18 Years and older   (Adult, Older Adult)"	Phase 1	37	Other|NIH	Interventional	Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	Pro00006014|DUMC-7019-06-3R1|NOVARTIS-DUMC-7019-06-3R1	Jul-05	Jan-09		13-Oct-06		14-Oct-15	"Duke Comprehensive Cancer Center, Durham, North Carolina, United States"		https://ClinicalTrials.gov/show/NCT00387933
1553	NCT01032200	Armodafinil in Treating Fatigue Caused By Radiation Therapy in Patients With Primary Brain Tumors		Completed	Has Results	Brain Tumors|Nervous System Tumors|Cognition Disorders|Fatigue	Drug: Armodafinil|Other: placebo	Retention|Adherence|Fatigue|Sleepiness|HVLT-IR	Wake Forest University Health Sciences|National Cancer Institute (NCI)	All	"18 Years and older   (Adult, Older Adult)"	Phase 2	54	Other|NIH	Interventional	"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Supportive Care"	IRB00012856|U10CA081851|REBACCCWFU97509	1-Aug-10	8-Jan-13	8-Jan-13	15-Dec-09	13-Feb-17	28-Sep-21	"Wake Forest University Comprehensive Cancer Center, Winston-Salem, North Carolina, United States"		https://ClinicalTrials.gov/show/NCT01032200
1554	NCT00003564	Procarbazine and Isotretinoin in Treating Patients With Recurrent Primary Malignant Gliomas		Withdrawn	No Results Available	Brain and Central Nervous System Tumors	Drug: Isotretinoin|Drug: Procarbazine Hydrochloride	Time to Progression for Procarbazine alone or with Isotretinoin	M.D. Anderson Cancer Center|National Cancer Institute (NCI)	All	"16 Years and older   (Child, Adult, Older Adult)"	Phase 3	0	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	DM97-050|P30CA016672|MDA-DM-97050|NCI-T97-0078|CDR0000066630				13-Sep-04		22-Feb-12			https://ClinicalTrials.gov/show/NCT00003564
1555	NCT00002572	Cytotoxic T Cells and Interleukin-2 in Treating Adult Patients With Recurrent Brain Tumors		Completed	No Results Available	Brain and Central Nervous System Tumors	Biological: aldesleukin|Biological: muromonab-CD3|Biological: therapeutic tumor infiltrating lymphocytes|Procedure: conventional surgery		"University of Colorado, Denver|National Cancer Institute (NCI)"	All	"18 Years and older   (Adult, Older Adult)"	Phase 1	10	Other|NIH	Interventional	Primary Purpose: Treatment	93-0426.cc|UCHSC-COMIRB-93426|NCI-T94-0065O	Nov-94	Dec-99	Dec-99	29-Jul-04		30-May-13	"Children's Health Center, Denver, Colorado, United States|Veterans Affairs Medical Center - Denver, Denver, Colorado, United States|University of Colorado Cancer Center, Denver, Colorado, United States"		https://ClinicalTrials.gov/show/NCT00002572
